,id,gerne_id,gerne_idx
771,4a21aae56ca44c4ca5da847acda3bd53,10,9
772,4a2efc6536dc4789b23fdea067c4b6dd,8,7
773,4a6bf5e7d3834a2eb09e95779616d4b3,3,2
774,4a81df18a811495f983d5f304243eb11,7,6
775,4a82cd45acf646b1895b803744b4e15f,6,5
776,4ab93157dbbd427fbcf74270acbe664c,6,5
777,4ad14722221743a6935065bf47c497a6,5,4
778,4ae2bfc034624bffbee2435b11e03298,9,8
779,4ae755511231480eac13a2d8da9ecb65,6,5
780,4af0fa479dfa4ccc8d01f8f9fe32d7f5,3,2
781,4b11e25ce5bf40ccadf6c97071396df8,7,6
782,4b1d8805c17948aeae6bfed26fde53ac,1,0
783,4b241cbf9dfe46abba6c4b7392324dfb,2,1
784,4b32ef2822fe4e7db46b97a1675e1fc3,7,6
785,4b48598608e84fb580e1edb4d11abfd1,1,0
786,4b53eb2d1c904997b84134620a527eef,5,4
787,4b73a7ad29c94c65b556dbf764a6f98d,7,6
788,4b7a79261db94699811870ded4166c28,1,0
789,4b8e4804f9da40819bf49a4682a67636,5,4
790,4b8f44476705491b87af60de3ffb12d6,7,6
791,4ba90a867cd54491a3680b27acce0076,5,4
792,4c4ac68676e040cdaa9f96517d868da9,2,1
793,4c51341e32b143df8812471e470702e8,7,6
794,4c7d1b0f39954e139343139df9680a99,9,8
795,4c7ec68fc17341ea976e6211d6c562c2,1,0
796,4c9313d42e344ca2a1a7e3c02103cb06,9,8
797,4c9978cdd8d0428f828716cf0e674cb4,10,9
798,4d0b00ecabc44050926de2224eba4320,7,6
799,4d0e48cbfaed4da29411fa5cb450ed47,6,5
800,4d1eea0779fa406285adb5d54ad2a56d,3,2
801,4d269f23a2d04dab8f42981cea40811c,3,2
802,4d39446dc201439daa86f2cd2727296a,1,0
803,4d3bc8cbeb0046dab592c7093cbd7356,7,6
804,4d650676323c4437ac61badd540a60b1,2,1
805,4d78346b9594460f807aa496cd9f0aea,5,4
806,4db29db8c5364aba86db69fb3b96395f,1,0
807,4e03c058d1114ee2a2e78ac9d4633188,3,2
808,4e14bf26957b47c9bc62c45ad7c3ac27,7,6
809,4e1d11895c6742c6abcadd29b714f104,3,2
810,4e4fa04a5f3c41d2a6d1447a27401e3f,5,4
811,4e6bd70866b34e378a9c6e6b5bcff042,2,1
812,4e84c8414d804efa917d76896e68b80a,8,7
813,4e8c55d0837e46859a67d86e759c46ab,2,1
814,4e976797046c492b933061cf3a76333c,1,0
815,4ea83e5b3d1b4292a9eb4e0fec6eaec8,5,4
816,4eaebd19577d409eba700d49ca941e4c,9,8
817,4eb11b84c40942d8b99a8416a266d407,7,6
818,4eb989bcfe054192be29e239101619d2,7,6
819,4ecd1f3e84c947bc89eb41d798bd5a5e,7,6
820,4ece9bd022224d0082c5dd669fdf37a4,8,7
821,4ed49c372f074df39e2690f56965973f,3,2
822,4ed7b0fd644341eb97e3af7d31373c4f,7,6
823,4eee154faa4e47428fa17fda2158d009,5,4
824,4f05b8b0754641ddba4d980b19133a52,6,5
825,4f41c8de68654d31bd417fa1385ccda6,1,0
826,4f4fe0ce53884d0990149fb6da0cc9e1,7,6
827,4f5fea5408514e07bfef08da0cf96069,4,3
828,4f98dd55691c4d7480acc92c7e297fc5,2,1
829,4ffec872a09c41f88e13d92abc98e794,1,0
830,501817009951417490e3dee41f96c83b,1,0
831,5057dcf3b8ca436bbb98cb3679ddfb90,4,3
832,5093078edbc9477db801fa6f2ec613a4,5,4
833,50a68b43de81433189ce393506063a98,4,3
834,50b2cc526be142e89554f76a3f7cb465,5,4
835,50c0f4c289e2470f93d181d772bbb5e3,8,7
836,50c6fb4324554044bf3b933c9831fd7b,10,9
837,50e2d84cb9e34bd089f86c1e037b8ffd,7,6
838,5118f9971fc74a44b6893049f7cf246e,10,9
839,5119ba2e2f934985ad1228ec678753b4,8,7
840,513058c0596f4ae2b5b295e99d32294c,3,2
841,513e8adcb4e54b7d94db1e912c2031e5,8,7
842,5147f940d5ad49f3961a1966a8df9802,8,7
843,517426f539d24a4fbec3c49502308425,4,3
844,51784b29e19d43378772a59b27d57c6f,7,6
845,519245bd087345d2817f29729c225524,1,0
846,519637909cab4953bcbc32117787ad21,6,5
847,51a882ac43154c89baf3051101b78e71,7,6
848,51aa9848d4fe4ebb9a743e288b3ec8aa,10,9
849,51d3824c27d8414c900c203b357085a7,3,2
850,51de6ec1893346f1b40c75ed1718ea57,1,0
851,522150638b5e4a1c8987cd1736762d24,4,3
852,52441b903e6e432ebe6b3c82ff628c5b,1,0
853,528f0e21c4244673b4b11295e620258d,3,2
854,52e1e909f14f4bf6bac2a0885050bf03,4,3
855,52f60039cf1c431fb744694f2b69ea88,3,2
856,530a7efd509d4e439674d2a36eaf1e7c,10,9
857,5326f2745b9f4edda2e0359e67b74dc1,10,9
858,5352f751bdac42459c5e8b7a8cf86545,7,6
859,5357e6dddabb454d93787844e01fce2e,6,5
860,535b7f65135c4e02be36402fded07720,4,3
861,536c283b2cb54a638d3e73957dbd775c,8,7
862,539cf94f6ffc4788b2a0b4d5fe655055,9,8
863,53bb22feb28f4d868c498e0d22f411e7,5,4
864,53bd24c7fc444eecabf8b5b76eddf659,2,1
865,53d4559e9c824ee1a5371c935db71e65,9,8
866,53f571f689c0417cb783006f9879ef0a,5,4
867,541fff01763e4c70a28f6a3e22a141a9,6,5
868,543d353e168e4ea68219046daa1c72d6,3,2
869,5446a9400ed24a76a686e04b7c3c9efc,4,3
870,545599b9f675456dae34501c2f5ad78d,3,2
871,546c0d50617a4c4090bcc93561cf93d2,4,3
872,547577af12f548ff88aa2f13057490de,3,2
873,54dc552d64684d5ab9d7bbd5ea972ff6,8,7
874,54dd72156c6d438997ad9c1b96319c6b,7,6
875,54f6685afdc5487cbaf34661ab5ef8b8,3,2
876,552dd44272054645b519f9a5fdeb4669,7,6
877,553f34780c7a40ae93a581ace9148fba,5,4
878,55468815236b41cc8958a5f253a56f74,4,3
879,554c91e4c03442958c8774fc99f3ea20,9,8
880,556d6e3118014be6a4c3be32cc62d937,10,9
881,55cffd04eed04280aff85ebb66063c43,2,1
882,55da5944dc164d59bbd5a475db0a9e1d,5,4
883,56060379a9944feabd6942f5e1463023,1,0
884,564b1e3a640247c7808b7177865b7362,7,6
885,56688035e19541cb9c4f22585f3113f0,3,2
886,566c117f324b4a6c8bcbdd469945a2d2,1,0
887,56885337c1854aefbcd155efa98b24af,2,1
888,56adbdbb3dc84e06bf3319e10f7b1959,4,3
889,56b5223389dd46c7b1243e704db4dbf0,5,4
890,56f47d443e2547d9bab943d9be313884,2,1
891,570adeb83c184fe9b50d287bf749342f,6,5
892,573387e137c7497c9d140a8b3676ed27,2,1
893,5763b72d76154bb5ab9bc3dbf8c9ffd3,3,2
894,577d46035bea4618ae0688806425e5fa,7,6
895,5794ae038b4f4e6ea90600a24848e5cb,7,6
896,57add34451d44de68f45546da987e299,6,5
897,57b6e58a64db4ba1b8865321661fcc55,10,9
898,57e3b6f8badf4c46845d01ec9139bc94,8,7
899,57eb5c5f37fc4d7f9315bd14b4cadee0,9,8
900,58046da05fda41b19c4aa758a6beedaf,3,2
901,5805e6f60a0b4be0afb967c620622954,4,3
902,5836f69e180b49698d420254098c4021,7,6
903,5898aa848a134cd18d8b68508d512211,6,5
904,58ad062b0fd94608ad9dee2aa0dd052e,1,0
905,58b032c684754f21be9b694f9e7adab9,3,2
906,58bcc5807ee14d6ca639013ccae1bba6,3,2
907,58c01804c46a4de7adec9841bb30f543,3,2
908,58c54a008e314831863634aa6cce3409,7,6
909,58e613c380744013a4516ee56d2c7594,6,5
910,58faeea9b13944e9a5233af5b6b89b28,7,6
